,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
282,Jonathan Isaac,ORL,27,42,21,21,16.8,6.4,2.3,5.5,41.7,0.7,2.6,25.2,1.1,1.7,65.8,1.9,3,4.9,0.5,0.5,0.8,1.3,1.4,18.7,1,0,-2.7
282,Simone Fontecchio,DET,29,42,19,23,17.9,6.4,2.1,5.3,40.4,1.1,3.3,34.3,1,1.2,78.8,0.7,2.3,3,0.9,0.8,0.4,0.2,1.3,12,0,0,-1.2
284,Ronald Holland II,DET,19,47,23,24,15.5,6.4,2.4,5.3,46,0.5,2,26,1,1.3,78,0.5,2.3,2.8,0.8,0.8,0.5,0.1,1.7,12,0,0,-1.9
285,Jarace Walker,IND,21,46,26,20,16.9,6.2,2.3,4.8,46.6,1,2.5,38.8,0.7,1.2,64.2,0.4,2.9,3.3,1.5,1.2,0.9,0.4,1.7,15.2,0,0,-2.7
286,Dru Smith,MIA,27,14,8,6,19.2,6.2,2.2,4.4,50.8,1.1,2.1,53.3,0.6,0.9,75,0.9,1.7,2.6,1.6,1.2,1.5,0.4,2.1,16.3,0,0,2.7
287,Terance Mann,LAC,28,34,20,14,19.7,6.2,2.4,5.4,45.4,0.7,2,34.8,0.6,0.9,70,0.8,2.1,2.9,1.7,0.7,0.8,0.3,1.9,14.7,0,0,-1.7
288,Kyle Filipowski,UTA,21,35,6,29,18.5,6.2,2.3,4.8,49.1,0.6,2,30,0.9,1.5,60.4,1.1,3.8,4.8,1.8,1,0.6,0.1,1.9,15.9,1,0,-3.1
289,Davion Mitchell,TOR,26,42,15,27,24.7,6.2,2.4,5.5,42.7,0.9,2.6,34.2,0.6,0.9,66.7,0.4,1.6,2,4.7,1.8,0.7,0.2,2.7,16.5,1,0,-1.2
290,Thomas Bryant,IND,27,30,20,10,13.2,6.1,2.3,4.2,55.2,0.8,1.9,41.4,0.7,0.8,87.5,1.2,2.3,3.6,0.7,0.4,0.4,0.6,0.9,14.2,0,0,2.6
291,Dean Wade,CLE,28,35,30,5,22.8,6,2.1,5.1,40.8,1.5,4.3,34.9,0.4,0.7,52,1,4.1,5.1,1.6,0.3,0.9,0.5,1.9,18.1,1,0,5.3
292,Marcus Sasser,DET,24,36,16,20,13.9,6,2.3,4.9,47.2,0.9,2.5,36.3,0.5,0.6,90,0.4,0.8,1.2,2.1,0.8,0.6,0.1,1.3,11.9,0,0,-0.6
293,Kris Dunn,LAC,30,42,24,18,22.6,6,2.5,5.9,42.3,0.9,3,30.5,0.1,0.3,50,0.7,2.6,3.2,2.7,1.1,1.5,0.3,2.5,18.3,0,0,2.1
294,Javonte Green,NOP,31,43,10,33,21.9,6,2.1,4.6,46.4,0.8,2.1,38.2,1,1.3,75.4,1.1,2.4,3.5,0.8,0.6,1.1,0.7,1.5,16.1,0,0,-5.6
295,James Wiseman,IND,23,1,1,0,4.6,6,2,4,50,0,1,0,2,2,100,0,1,1,0,0,0,0,0,7.2,0,0,-4
296,Shake Milton,LAL,28,36,16,20,15.9,5.9,2.1,4.8,44.3,0.8,2.3,36.6,0.8,1.1,76.9,0.5,1.3,1.8,2,0.7,0.4,0.1,1.4,11.8,1,0,-2.8
