,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
462,Jordan Walsh,BOS,20,34,25,9,7.8,1.6,0.6,1.6,35.2,0.3,1.1,28.9,0.1,0.3,50,0.4,0.7,1.1,0.3,0.2,0.2,0.2,0.5,4.5,0,0,1.4
463,Matt Ryan,NYK,27,16,13,3,3.7,1.6,0.6,1.6,34.6,0.3,1,31.3,0.1,0.1,100,0,0.4,0.4,0.1,0.2,0.1,0,0.1,2.4,0,0,-1.9
464,Armel Traore,LAL,22,8,4,4,7.7,1.5,0.6,2.3,27.8,0,0.9,0,0.3,0.9,28.6,0.1,1.6,1.8,0.1,0.3,0.5,0.3,0.8,5.8,0,0,-6
464,Jazian Gortman,DAL,21,16,8,8,3.5,1.5,0.6,1.4,39.1,0.3,0.7,36.4,0.1,0.3,50,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0.6,2.7,0,0,0.7
464,Quincy Olivari,LAL,23,2,1,1,5.2,1.5,0.5,2.5,20,0.5,2.5,20,0,0,0,0,0,0,0.5,0.5,0,0,0,1.8,0,0,-9
464,Terrence Shannon Jr.,MIN,24,10,7,3,4.5,1.5,0.7,1.3,53.8,0.1,0.3,33.3,0,0,0,0,0.2,0.2,0.5,0.3,0.2,0.1,0.1,3.1,0,0,0.5
468,Alex Len,SAC,31,35,19,16,7.3,1.5,0.6,1.2,53.7,0,0.2,16.7,0.2,0.4,53.8,0.7,1.1,1.8,0.9,0.3,0.2,0.5,1,6.9,0,0,-2.6
469,Dwight Powell,DAL,33,33,18,15,7.6,1.5,0.4,0.5,77.8,0,0,100,0.6,0.9,66.7,0.7,1.1,1.8,0.7,0.2,0.4,0.5,1.2,6.9,0,0,1
470,Pacôme Dadiet,NYK,19,13,10,3,6.4,1.5,0.5,1.5,30,0.4,1.1,35.7,0.2,0.2,100,0,1,1,0.4,0.1,0.1,0.2,0.4,3.9,0,0,-0.1
471,Yuki Kawamura,MEM,23,17,14,3,3.3,1.4,0.5,1.2,38.1,0.2,0.9,26.7,0.2,0.4,66.7,0,0.4,0.4,0.7,0.2,0.1,0,0.4,2.8,0,0,-0.1
472,Colin Castleton,MEM,24,10,9,1,4.6,1.4,0.2,1,20,0,0.4,0,1,1.1,90.9,0.3,0.6,0.9,0,0.1,0.1,0.1,0.6,3,0,0,0.5
473,Sidy Cissoko,SAS,20,16,7,9,3.2,1.4,0.6,1.1,50,0.2,0.4,42.9,0.1,0.4,16.7,0.2,0.4,0.6,0.4,0.1,0.1,0,0.4,2.8,0,0,-0.2
474,Alex Ducas,OKC,24,9,9,0,3.5,1.3,0.4,1,44.4,0.4,0.9,50,0,0,0,0.1,0.2,0.3,0.1,0.1,0.1,0,0.3,2.1,0,0,-1.6
474,Bryce McGowens,POR,22,6,2,4,2.3,1.3,0.5,0.8,60,0,0.3,0,0.3,0.5,66.7,0.2,0,0.2,0.2,0.3,0,0,0.2,1.5,0,0,1.2
474,Jack McVeigh,HOU,28,6,5,1,3.6,1.3,0.5,1.8,27.3,0.3,1.3,25,0,0,0,0.2,0.5,0.7,0.2,0.2,0,0.2,0.2,2.7,0,0,0.3
474,Luke Travers,CLE,23,6,5,1,6.9,1.3,0.5,1.2,42.9,0,0.5,0,0.3,0.3,100,0.2,0.8,1,0.8,0.3,0.2,0.2,0.5,4.5,0,0,1
478,Zeke Nnaji,DEN,24,27,18,9,4.5,1.2,0.6,1.3,44.1,0,0.4,0,0.1,0.3,42.9,0.1,0.4,0.5,0.1,0.1,0,0.1,0.3,2.3,0,0,-3.2
479,Cam Christie,LAC,19,5,2,3,5.7,1.2,0.4,1.8,22.2,0.2,1.2,16.7,0.2,0.4,50,0.2,1,1.2,0.4,0.4,0.4,0,0.4,4,0,0,1.4
479,JD Davison,BOS,22,5,5,0,4.7,1.2,0.4,1,40,0.2,0.6,33.3,0.2,0.4,50,0,0.4,0.4,0.2,1.2,0.2,0,0.2,1.4,0,0,-6
481,AJ Johnson,MIL,20,6,4,2,2.4,1.2,0.5,1.2,42.9,0.2,0.2,100,0,0,0,0,0.5,0.5,0.5,0.3,0,0,0,2.2,0,0,2.2
482,Colby Jones,SAC,22,23,10,13,5.3,1.1,0.5,1.1,44,0.2,0.4,44.4,0,0,0,0.3,0.6,0.9,0.2,0.3,0.2,0.3,0.6,3.6,0,0,-0.3
483,PJ Hall,DEN,22,10,7,3,2.8,1.1,0.4,0.8,50,0,0.3,0,0.3,0.4,75,0.2,0.8,1,0.2,0.1,0,0.1,0.3,2.8,0,0,0.3
484,Adam Flagler,OKC,25,15,13,2,3.8,1,0.3,2.1,16.1,0.3,1.9,17.9,0,0,0,0.2,0.3,0.5,0,0.1,0.1,0.1,0.4,2.2,0,0,0.1
484,Baylor Scheierman,BOS,24,9,8,1,6,1,0.3,1.9,17.6,0.1,1.3,8.3,0.2,0.2,100,0.2,1.2,1.4,0.4,0,0.2,0,0.7,4.1,0,0,-1.2
484,Jared Rhoden,CHA,25,4,1,3,2.9,1,0.5,2,25,0,0.5,0,0,0,0,0.5,0.5,1,0.5,0.3,0.3,0,0.3,3.5,0,0,2
484,Jaylen Martin,BKN,21,3,2,1,1.6,1,0.3,0.7,50,0.3,0.3,100,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0.3
484,Karlo Matkovic,NOP,23,10,3,7,7.3,1,0.5,1.2,41.7,0,0.2,0,0,0,0,0.8,1.2,2,0.3,0.7,0.5,0.7,1.2,6.8,0,0,0.3
484,Kessler Edwards,DAL,24,18,10,8,6.9,1,0.4,1.1,35,0.1,0.6,18.2,0.1,0.1,100,0.2,1.1,1.3,0.4,0.1,0.2,0.2,0.7,4.3,0,0,-2.3
484,Kylor Kelley,DAL,27,1,1,0,7.6,1,0,0,0,0,0,0,1,2,50,1,3,4,0,0,0,0,2,5.8,0,0,-3
491,Xavier Tillman,BOS,26,26,21,5,7.3,1,0.4,1.5,25,0.2,0.8,18.2,0,0.1,50,0.3,1.1,1.4,0.3,0.3,0.3,0.2,0.5,4.2,0,0,0.6
492,James Johnson,IND,37,9,4,5,3.1,0.9,0.4,0.9,50,0,0.2,0,0,0.1,0,0,0.4,0.4,0.3,0.4,0,0.2,0.4,2.1,0,0,-0.1
493,Maxwell Lewis,BKN,22,8,4,4,3.8,0.9,0.4,0.9,42.9,0.1,0.1,100,0,0,0,0.3,0,0.3,0.3,0.3,0.1,0,0.1,1.7,0,0,-3.3
494,Trey Alexander,DEN,21,14,8,6,4.5,0.9,0.3,1.3,22.2,0.1,0.6,22.2,0.1,0.1,100,0,0.3,0.3,0.4,0.1,0.1,0.1,0.4,2.2,0,0,-0.1
495,RayJ Dennis,IND,23,6,4,2,1.9,0.8,0.2,0.5,33.3,0.2,0.5,33.3,0.3,0.3,100,0.2,0.3,0.5,0.2,0.3,0.3,0,0.2,2.4,0,0,0.2
495,Ulrich Chomche,TOR,19,6,2,4,3.4,0.8,0.3,0.5,66.7,0,0,0,0.2,0.3,50,0.5,0.5,1,0.3,0.3,0,0,0.7,2.2,0,0,-2
497,Jaylen Clark,MIN,23,5,5,0,4,0.8,0.2,1.2,16.7,0,0.2,0,0.4,0.4,100,0.4,0.4,0.8,0.2,0,0,0,0.4,2.1,0,0,0.8
498,PJ Dozier,MIN,28,9,7,2,3.9,0.8,0.2,0.3,66.7,0.2,0.3,66.7,0.1,0.7,16.7,0.1,0.4,0.6,0.6,0.1,0.1,0,0.3,2.5,0,0,-0.4
499,D.J. Carton,TOR,24,4,1,3,8.3,0.8,0.3,1.8,14.3,0,0.8,0,0.3,0.3,100,0,1,1,0.8,1,0.5,0,0.3,3.6,0,0,3
499,Josh Christopher,MIA,23,8,4,4,3.4,0.8,0.3,0.9,28.6,0,0.1,0,0.3,0.5,50,0,0.4,0.4,0.5,0.5,0,0.1,0.1,1.8,0,0,-1
